Walls
70.0,518.0,69.0,182.0
69.0,182.0,159.0,107.0
159.0,107.0,502.0,106.0
502.0,106.0,581.0,168.0
581.0,168.0,580.0,261.0
580.0,261.0,711.0,261.0
711.0,261.0,770.0,176.0
770.0,176.0,901.0,175.0
901.0,175.0,903.0,513.0
903.0,513.0,70.0,515.0
212.0,442.0,211.0,220.0
211.0,220.0,509.0,221.0
508.0,220.0,508.0,311.0
511.0,308.0,724.0,308.0
724.0,308.0,784.0,235.0
784.0,235.0,847.0,233.0
847.0,233.0,853.0,455.0
853.0,455.0,663.0,458.0
663.0,458.0,660.0,310.0
527.0,368.0,529.0,511.0
420.0,217.0,424.0,405.0
429.0,514.0,427.0,446.0
327.0,515.0,326.0,299.0
264.0,219.0,264.0,424.0
Checkpoints
62.0,354.0,214.0,357.0
210.0,442.0,212.0,523.0
326.0,420.0,269.0,422.0
425.0,376.0,329.0,381.0
427.0,362.0,528.0,365.0
455.0,219.0,456.0,102.0
503.0,222.0,577.0,158.0
605.0,306.0,601.0,256.0
723.0,307.0,698.0,259.0
809.0,239.0,808.0,168.0
840.0,335.0,905.0,337.0
800.0,440.0,804.0,529.0
665.0,448.0,667.0,534.0
355.0,220.0,358.0,109.0
264.0,220.0,263.0,96.0
214.0,228.0,110.0,137.0
218.0,279.0,55.0,278.0
